56.712345 24.103214 TYC Fake-001     79656044369 G2V 190.0  7.2 0.3 1.0200 0.0800 0.0700 1.010 0.060 0.050 210000000000000015434770284544 49999999999999995716575428608
56.845912 24.287501 HD Mock-102      49499059577 M2V 242.4  0.6 0.1 0.0350 0.0040 0.0030 0.190 0.020 0.020  79999999999999996664957894656 15000000000000000474191233024
56.553284 23.981746 Gaia DR3 Fake A  87273812791 M3V  91.6 28.0 1.3 0.0120 0.0015 0.0012 0.110 0.010 0.010   2499999999999999895779934208   500000000000000006643777536
57.102934 24.451882 BD+24 Test-17    72763122614 K2V 102.1 23.4 0.4 0.3200 0.0300 0.0200 0.570 0.040 0.040 120000000000000003793529864192 19999999999999999166239473664
56.332145 24.720614 V* Sim-004       18475961309 F8V 125.3  6.8 0.2 2.1000 0.2000 0.1500 1.450 0.100 0.090 450000000000000023021830012928 79999999999999996664957894656
57.418205 23.762193 HIP Demo-221     97806011646 M5V  59.5 30.0 0.5 0.0045 0.0006 0.0005 0.067 0.008 0.007   5999999999999999529969516544  1199999999999999988457275392
56.921774 24.039118 2MASS J0001+0001 78502573178 K7V  45.5 16.2 0.5 0.1400 0.0200 0.0150 0.370 0.030 0.030  89999999999999994049054375936 15000000000000000474191233024
55.984216 24.612387 KIC Mock-778     80745787474 M4V 126.8 20.0 1.0 0.0070 0.0010 0.0008 0.084 0.008 0.007  39999999999999998332478947328  7000000000000000367890792448
56.674003 23.558294 EPIC Fake-912    21530226940 M2V  68.3  5.1 0.8 0.0300 0.0040 0.0030 0.170 0.020 0.020 149999999999999995945819308032 30000000000000000948382466048
57.285631 24.220946 TOI Sim-031      50534734410 F5V 172.4  3.5 0.5 3.5000 0.4000 0.3000 1.870 0.150 0.130 599999999999999983783277232128 99999999999999991433150857216
56.118420 24.345719 GJ Test-12       43371822180 K5V 117.7 23.5 1.0 0.1700 0.0200 0.0150 0.410 0.030 0.030  79999999999999996664957894656 15000000000000000474191233024
57.005882 23.891224 LHS Mock-87      93408848995 G2V 210.7 16.6 0.6 0.9500 0.0800 0.0700 0.970 0.060 0.050 299999999999999991891638616064 60000000000000001896764932096
56.401638 24.534901 Wolf Fake-3      67947860806 K2V 179.6 19.9 1.2 0.2800 0.0300 0.0200 0.530 0.040 0.040  99999999999999991433150857216 19999999999999999166239473664
57.631052 24.080117 Ross Sim-55      84048545193 K7V  88.4 26.8 0.3 0.1100 0.0100 0.0100 0.330 0.020 0.020  69999999999999999280861413376 11999999999999999059939033088
56.249774 23.701946 LP Demo-44       49907277894 K7V 210.6 22.3 0.1 0.1300 0.0200 0.0200 0.360 0.030 0.030  60000000000000001896764932096  9999999999999999583119736832
57.198526 24.790405 UCAC4 Mock-901   30451484960 F8V 204.1  5.2 0.2 1.8000 0.2000 0.1500 1.340 0.090 0.080 500000000000000009942312419328 89999999999999994049054375936
55.872339 23.912708 WISE J1234+5678  59912630830 K7V 106.1 19.7 1.1 0.1200 0.0100 0.0100 0.350 0.030 0.020  49999999999999995716575428608  8000000000000000106300440576
56.768991 24.667325 OGLE Fake-19     15743553049 G2V  82.8 10.8 0.7 0.8800 0.0700 0.0600 0.940 0.060 0.050 250000000000000004971156209664 49999999999999995716575428608
57.339851 23.638412 TIC Sim-880      84486805478 M2V 175.4  1.4 0.3 0.0280 0.0030 0.0020 0.170 0.020 0.020 199999999999999982866301714432 39999999999999998332478947328
56.590247 24.156830 DANCe Mock-26    66849795920 K4V  47.8 15.5 0.8 0.2200 0.0200 0.0200 0.470 0.040 0.030  89999999999999994049054375936 15000000000000000474191233024
